"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.013124587548,611.090758594195,599.790242663735,538.72773872194,625.549015397684,540.543545316518,535.162240781095,633.682347512092,634.249537961101,525.567618397513,607.690021468911,557.717455897154,548.404208252887,631.65539718463,542.598801118842,562.762452253052,594.787702782361,534.161720852678,568.153728031785,538.295688110882,577.254334014804,606.645859709729,541.684792188552,606.96719204949,584.041449712944,616.154579541106,547.512977710507,538.116279006834,548.134527548,595.174774618558,622.298903688444,593.494724464669,625.046162891545,561.355185110689,609.983410424062,545.009207051294,581.612862253991,526.840931440673,600.93443910271,614.315254274992,526.451818040214,556.413162126227,555.543032403251,578.532603286657,565.398363375059,564.655686229239,584.698037209051,600.923613828852,552.780321923483,601.211919419529,591.047739538129,619.753424724613,540.404662843544,571.299221106032,546.533645219392,550.781369360812,634.832507282642,579.988707348753,630.592681607969,528.09129919363,621.457369085169,545.029441318552,523.884133036574,523.702164010618,605.16450480768,526.806585166592,616.279006864648,567.331142989036,575.958906983994,584.052295206986,530.871633873158,539.011867239505,566.770829342235,549.602020782575,586.502480707992,559.189811449124,569.379755647565,539.707976186138,526.816864849537,598.623157930593,543.846375894469,615.294125019563,613.928124296843,627.014244068362,527.627771285203,616.936206617191,549.856900287117,605.777619448693,535.409956633259,581.625254785823,552.438106394347,620.571633187523,573.406714626807,594.011406288855,584.748487411903,609.96810023993,583.930527700156,529.343645632225,526.734471800851,617.265617657629
1134.97670035504,1302.75349893383,1277.65560743502,1151.17417115456,1338.76642551384,1158.40097341064,1150.73780659819,1352.20310004795,1359.22779307256,1125.02777284419,1295.18729956834,1189.67309515343,1175.13425876207,1345.62405540166,1157.74108524753,1206.71463726807,1273.92009814282,1148.39789577774,1220.3984095957,1148.58868608204,1236.70400993876,1298.32587814196,1162.36451876287,1298.5878151121,1246.41766664998,1312.11454672123,1174.15332831917,1155.4542128185,1172.78323112469,1277.67743977467,1328.72066542691,1265.78341430256,1340.77592069546,1201.30467560269,1299.91904292172,1165.11684105306,1248.76718758008,1124.86917771511,1284.25435325531,1312.70263339354,1131.81036013121,1193.71182292325,1187.17420434866,1238.2617726575,1205.86510806618,1209.86154586193,1250.83501984959,1286.82863494956,1183.33261797806,1283.61710364601,1267.58377350518,1323.21521233423,1152.61830408565,1226.3071768579,1174.90984381503,1180.57752342396,1358.64322323883,1242.82271811852,1348.95451766515,1127.95150654537,1328.29617322108,1170.42742231385,1118.51502543731,1124.26018079336,1296.12288187718,1127.21905835135,1322.73256878621,1216.95430251233,1230.29333567783,1250.07573024553,1138.63697231807,1152.74787722817,1215.38950444364,1181.04497884734,1255.86945654577,1192.22790131167,1222.79610911943,1158.56605129802,1130.64200132919,1277.04155865126,1160.57668541979,1315.3347868521,1316.92365532305,1336.04573008391,1127.86803363353,1313.44074106049,1172.47158654932,1297.7751376475,1146.37510852696,1240.98223018287,1184.88377841614,1323.97500948898,1232.12291440708,1273.68709171326,1253.02196359077,1303.26814036939,1250.86831555883,1137.82433592851,1125.16005593187,1318.63539201308
1415.25378914771,1610.5638352958,1577.66158617203,1430.1491493324,1665.54030997999,1445.96700277276,1444.53493021951,1674.00731414691,1694.66858413821,1402.09394208608,1600.61583481096,1473.22371023417,1466.41538550985,1661.27379389881,1434.70880304306,1507.14272481416,1587.3811712143,1441.23660030376,1528.48838542466,1423.54143749601,1542.04100951347,1615.5434485616,1454.01089216627,1614.9893365722,1544.11782624826,1619.12049154257,1467.12670166936,1447.00302069949,1459.84509481772,1598.09226404587,1646.74879428943,1566.26776213748,1674.40444263636,1495.5018026644,1606.10660758846,1448.37080710546,1562.61125016644,1395.94325511824,1594.33607181643,1629.1270583793,1420.61408621362,1492.3127631821,1474.57479403066,1541.52912024996,1492.70069954134,1509.15121891257,1555.77580991328,1602.87566456802,1474.11139614114,1591.01648609793,1583.00310501504,1639.81799726756,1427.51468721576,1534.07205857704,1473.99287918243,1473.866966926,1690.16251410661,1550.1497070692,1676.90003696699,1400.57869490377,1649.05310877461,1465.83441028028,1388.05993607216,1407.84134587008,1614.81732883322,1403.84118077144,1653.57059182352,1520.73914573437,1526.61525150489,1556.12369321251,1423.54571426606,1434.08234536019,1518.04952895163,1480.6595524688,1564.41709223145,1475.15207565961,1530.97762669678,1450.22663404039,1415.11304128335,1580.76193408368,1438.54596056611,1633.48889347684,1644.77300191119,1650.14240731065,1402.35062322582,1620.05290361155,1451.22542368123,1617.56267534209,1428.9885854177,1536.86042219832,1480.75618426425,1638.72361764005,1543.9662968155,1590.04906194454,1562.77399996825,1617.18869470279,1559.27950235252,1427.65935043616,1397.37064796182,1635.68164711389
1561.12006142586,1759.65747653909,1721.31410365109,1570.95644048522,1832.91908424145,1596.92478887471,1605.58348551029,1831.99942396356,1869.64484209647,1545.64425796175,1748.02942794125,1612.42013629301,1618.98847984018,1812.33814290229,1571.49093660806,1665.67257965408,1749.88027872442,1601.4583810538,1694.64737025216,1559.46149593269,1701.10425749555,1778.1769831951,1609.70675950528,1776.466672336,1690.91364512555,1765.28342932591,1622.2018308907,1603.99399729178,1607.18070103346,1769.27809567744,1804.35999795067,1712.92292278343,1850.67315510571,1646.68503701622,1753.59431576389,1592.12130532325,1730.77723175756,1531.43821960387,1750.17919756813,1787.79192850041,1578.76105550789,1651.02743240147,1619.4483176994,1697.47163127242,1633.05380327396,1665.49006174451,1711.4307128485,1766.25547597331,1624.32798688312,1743.37956894836,1749.45340655332,1796.61575508251,1562.54870799428,1698.56809436751,1637.25512930847,1628.05212389708,1859.94488421275,1710.6646804486,1843.8074425245,1537.53990442668,1810.42056108604,1624.99671360078,1522.78342725926,1560.41128126224,1779.89644205858,1546.34295775706,1829.72773301162,1681.73534248897,1674.79872452534,1713.42901972367,1574.9542259436,1577.75346189099,1677.83571046308,1643.37555826682,1723.92939894554,1612.99739281229,1696.76671833883,1606.72599458843,1567.57629672562,1729.50451256634,1576.10167328439,1793.95455787336,1818.04789564062,1801.02972193154,1541.82901326796,1765.42870231749,1587.44379387028,1783.78834097704,1575.68964778787,1682.30119097917,1637.57074225058,1792.88185161975,1712.83325617128,1756.53340118017,1724.49908354534,1774.3778674751,1719.62462003198,1585.96646911153,1534.33628253556,1793.99270783613
1639.84628651768,1830.97100217413,1788.6308616838,1643.37341562638,1920.83589431201,1679.43862751325,1699.23547368682,1909.33987984701,1964.16560059989,1622.60358985558,1818.097122532,1680.71626690905,1702.09545692182,1882.98069712655,1639.33159001426,1752.94513318513,1836.9111086617,1694.39146491426,1789.03976924042,1626.99718546184,1786.97092758132,1863.76588282803,1696.93085071177,1860.83530992558,1763.42697806221,1833.01051179008,1707.99486936539,1693.04060404006,1684.97694914085,1865.16998626846,1882.79588357373,1784.0653675584,1947.75384120763,1726.63597260915,1823.44006663683,1666.69046892052,1825.40118128853,1600.05106155246,1829.62364992943,1868.33763886819,1670.61201410875,1739.35165724104,1693.76116837633,1779.98186076244,1701.5118680369,1750.2624274976,1792.82828806193,1853.36640665113,1704.4396077535,1819.26770320128,1841.03279910489,1874.56216113319,1628.91646060459,1790.81499962852,1731.62678730033,1712.48863725857,1949.08213918589,1797.64949248216,1930.57902871923,1607.47026445784,1892.76790301341,1715.33588551285,1591.00703646198,1646.87525179363,1868.17689239704,1622.06813346725,1927.87828795195,1770.92195100108,1749.77221895714,1796.59208143286,1659.2425365954,1653.03855660145,1765.8548015908,1736.75850201169,1809.0171197151,1679.74340777849,1790.60982398144,1695.04683101143,1653.50346422491,1802.08087303955,1644.5584075337,1876.1967323028,1913.55129820671,1872.09142033377,1614.37032712111,1832.26901981908,1653.76952626645,1873.15987512866,1654.54262182197,1753.76472657831,1724.48155796792,1868.06046934683,1809.30322948096,1847.74853378913,1812.08309132891,1853.9993390052,1805.906806389,1677.58240010218,1604.45037869075,1873.7936527681
1678.14030200204,1857.06946504751,1811.8937003671,1675.31314564329,1961.01933643338,1720.49021249475,1750.9958064758,1939.362164214,2009.81408971176,1659.58116779397,1843.30351742629,1707.6539293286,1743.15175515273,1907.11306928456,1666.86646323795,1796.84833021315,1878.38606064349,1745.55074194906,1839.16173635111,1654.54406381886,1828.58034901403,1903.1089009827,1742.25309214489,1899.04042053852,1792.40979968294,1855.55935647429,1751.58896069933,1740.30194380912,1721.1811973087,1914.79350082328,1914.5707411799,1811.18173191074,1996.39898172175,1763.90995607482,1848.29444634063,1700.16392243254,1874.7948422834,1629.3393241734,1863.75162838478,1902.56321133746,1721.30646177005,1784.66762257393,1726.28924390567,1818.42606649957,1728.08294745675,1791.73228638641,1829.83533479786,1894.49414106181,1742.44626092363,1850.15155949922,1886.95232637755,1906.06492076125,1655.26929623711,1838.72441221333,1783.25345370743,1754.60437206299,1989.74966250516,1840.09891388776,1969.37398309166,1637.86908221523,1928.14923265136,1763.31363407493,1620.14146878317,1692.74768147056,1910.08688925601,1657.8322030269,1978.12389429703,1816.27636222566,1781.52463392947,1835.25621281529,1702.60020919382,1687.57030965658,1810.16891632786,1787.24686538845,1849.27734997531,1705.18733206577,1840.13574655908,1741.52240372141,1698.66042826918,1830.14722151185,1672.56617221719,1911.89840674262,1961.51086597628,1896.90762948509,1647.17244121332,1853.9735860425,1679.45556462002,1916.03102793255,1692.58313582769,1781.9618172167,1768.76636223057,1897.00767709423,1860.98831242544,1893.12733256232,1854.75596220486,1887.67859051462,1847.43928764036,1727.85255551306,1635.10707683492,1907.14420490192
1688.74530354574,1853.52246302906,1806.51592645632,1680.09516617898,1968.67881460851,1732.9586953459,1773.00356878725,1938.03287251183,2021.73329040454,1669.27059882015,1839.17315897851,1707.32762531202,1755.24907061022,1900.95327687048,1667.7509823928,1810.70620881577,1888.62290996196,1767.08180000705,1858.1375432737,1655.64051909191,1839.77230565847,1910.95662435413,1758.34903311304,1905.90266563358,1792.55845480242,1848.81620541524,1765.91282528629,1758.2495438015,1729.14036566378,1932.02879188029,1915.25654938231,1809.3185707017,2011.34164431998,1772.15334077884,1843.76147530321,1705.94976801627,1892.48566693775,1632.43985739691,1867.44050952385,1905.69816150241,1742.80622609069,1800.04986340468,1730.77552787651,1826.84990371333,1727.08760992613,1803.40772448473,1836.7404788188,1904.13967695467,1751.72326165015,1851.08751711228,1901.18637953403,1906.6425332714,1655.26460900763,1855.62833290461,1804.59051652084,1767.49768706626,1997.37747849795,1851.8804498732,1975.61049127663,1641.84875796329,1931.92279524579,1781.54777104802,1623.25127906533,1710.18519886428,1920.19838039887,1666.42752537319,1994.87487271375,1831.1660219348,1784.38967769136,1843.60364622178,1717.51750888171,1694.53821565081,1824.18776979627,1807.44271993644,1858.87161212425,1703.54061257235,1858.53488992429,1758.71111703322,1715.32811538898,1828.83796828054,1673.78952709746,1916.23665116155,1976.40072011814,1891.53777870914,1653.20832529599,1846.49240283685,1678.44919102632,1926.93750928474,1702.7145753491,1781.56488186307,1783.4492600131,1895.39773905469,1881.06747522657,1906.75330367995,1866.50091185224,1890.55819097094,1858.24547769071,1748.84123417212,1639.36840202952,1909.39897102196
1679.0608886499,1829.25428615374,1781.28648845663,1665.38822756163,1952.70401686253,1724.35192111136,1772.42194899825,1914.56880128032,2008.83123214547,1659.02859038999,1814.59002938618,1687.79829218346,1746.02139891606,1873.783425608,1649.79567798727,1802.31866737207,1875.99083527928,1766.14762490204,1853.70865006479,1638.02840517444,1828.63175571105,1895.91403769869,1752.64536192497,1890.05628991541,1772.31841908033,1821.8402262716,1758.52775694377,1754.20500225814,1716.58901562064,1925.06078023032,1893.85755611599,1787.10326282823,2001.27203312928,1759.28991678898,1818.76749717248,1691.78722888123,1886.4511766042,1616.88095478048,1849.30963744239,1886.57335419708,1742.1612607978,1793.1627677799,1715.14600080823,1813.4273646596,1706.71540912086,1793.17448696565,1821.84638464657,1890.77824858714,1740.04141603779,1830.76031040681,1891.94303314605,1885.2636111295,1636.69806734632,1849.37487448105,1802.98972909434,1758.81715263083,1980.99326144787,1841.10413501252,1958.28720557613,1626.93705808653,1913.01071849847,1777.45974678636,1607.82024005161,1706.31041734852,1907.03748234676,1655.25584169347,1986.64095695179,1823.43017768623,1766.63353199543,1829.89246635337,1711.29361195681,1681.56482183336,1815.76644262919,1804.77727252732,1846.06275721575,1682.91238004848,1853.58352015102,1753.98002527892,1710.69703421075,1806.8459917733,1656.05069920756,1898.02929370887,1966.74805315259,1865.17921704662,1639.95293930251,1818.90948641454,1658.70736130558,1914.3933464282,1692.42870274307,1760.99441528052,1776.15480189508,1872.25771882454,1877.32730511695,1896.89459976663,1855.49941034336,1871.41022168634,1846.51920946138,1747.65667786302,1624.73572203144,1889.45256832041
1654.09041236625,1790.15000741272,1741.9608414588,1636.30492310941,1919.12907575522,1699.77531294052,1754.21398238441,1875.10447467322,1977.21457306727,1633.81543815642,1775.40033994941,1654.38007794385,1720.6595229076,1831.70439497688,1618.15428809162,1777.01838535548,1846.18391194015,1747.70551787342,1831.21825418812,1606.81563952375,1800.6610195965,1863.81206754065,1730.2355028438,1857.3390466324,1737.28853672545,1780.56000685259,1734.60145121283,1733.20906175198,1688.73312712802,1899.54205096873,1856.38614495026,1750.23365986863,1972.17879300176,1730.66537279565,1779.18246625619,1662.85425374487,1862.18909741431,1587.64933668408,1815.13904698247,1851.11355097101,1724.2473115205,1769.26117100645,1684.69307321137,1783.68661031511,1672.36207589501,1766.39823635837,1790.75214321574,1860.17225025999,1712.6512458598,1794.95451634521,1864.85340458021,1847.9130023614,1604.69842953178,1825.35769936969,1783.5419554722,1733.77435904532,1946.7307268093,1813.29827961251,1923.49719318489,1598.13379972842,1877.41373317729,1756.15230207436,1578.80347043272,1686.01581596383,1876.40974809119,1629.29439767959,1959.3036336211,1798.44303300925,1733.76859877323,1799.7101779249,1688.91603738779,1653.76182012895,1790.27921603894,1784.38477522413,1816.45932980128,1648.62972844828,1830.6426350924,1732.3932776217,1689.6988164368,1769.92574576284,1624.51720898542,1863.20979952903,1938.42334980411,1823.88499691063,1612.3990445598,1777.15841885782,1625.45822827762,1884.20660403815,1666.78819481168,1725.82245783846,1752.10051970533,1833.57969498092,1855.15753824246,1869.21790970268,1827.33069769153,1836.11290512039,1817.83592935689,1729.21043333286,1596.19427018509,1853.26243539342
